do_location_id,zone,borough,trip_count,avg_distance_mi,total_distance_mi,avg_fare,total_fare,fare_median
217,South Williamsburg,Brooklyn,1552,16.339250644329898,25358.517000000003,68.23936855670101,105907.49999999997,66.79
11,Bath Beach,Brooklyn,1545,17.77244012944984,27458.420000000002,62.16355987055015,96042.69999999998,62.15
18,Bedford Park,Bronx,1540,21.644083766233763,33331.888999999996,76.69685064935065,118113.15,75.22
169,Mount Hope,Bronx,1480,20.88968243243243,30916.729999999996,73.95660810810811,109455.78,72.64
235,University Heights/Morris Heights,Bronx,1437,21.409086290883785,30764.857,74.71480167014613,107365.16999999998,73.98
174,Norwood,Bronx,1428,21.937388655462186,31326.591,76.32157563025211,108987.21000000002,74.29
54,Columbia Street,Brooklyn,1427,23.50143237561317,33536.543999999994,91.22648213034337,130180.18999999999,92.52
182,Parkchester,Bronx,1341,18.01717747949291,24161.034999999996,63.559798657718126,85233.69,62.5
192,Queensboro Hill,Queens,1334,9.707267616191904,12949.495,40.33901049475262,53812.24,38.7
242,Van Nest/Morris Park,Bronx,1308,18.068259938837922,23633.284000000003,65.94734709480122,86259.12999999999,63.9
81,Eastchester,Bronx,1274,20.51526059654631,26136.442,70.89975667189952,90326.29,69.59
119,Highbridge,Bronx,1246,20.05783868378812,24992.067,70.64544943820225,88024.23000000001,70.2
73,East Flushing,Queens,1228,11.575596905537457,14214.832999999999,48.738004885993476,59850.26999999999,46.51
159,Melrose South,Bronx,1213,19.11351112943116,23184.689,67.58203627370156,81977.01,67.4
3,Allerton/Pelham Gardens,Bronx,1211,19.46703303055326,23574.576999999997,67.8859372419488,82209.87,66.7
32,Bronxdale,Bronx,1092,20.327790293040298,22197.947000000004,69.73530219780218,76150.94999999998,69.15
167,Morrisania/Melrose,Bronx,1088,19.81758180147059,21561.529,69.67882352941176,75810.56,69.29
78,East Tremont,Bronx,1087,19.486470101195952,21181.792999999998,67.3928242870285,73255.99999999999,66.12
250,Westchester Village/Unionport,Bronx,1060,17.308549056603777,18347.062,61.935179245283024,65651.29000000001,61.1
248,West Farms/Bronx River,Bronx,906,18.363061810154527,16636.934,63.8851876379691,57879.98000000001,62.9
47,Claremont/Bathgate,Bronx,902,20.580331485587582,18563.459,70.35243902439025,63457.9,68.3
136,Kingsbridge Heights,Bronx,847,22.304773317591494,18892.142999999996,79.34918536009447,67208.76000000001,79.54
212,Soundview/Bruckner,Bronx,846,18.191628841607564,15390.117999999999,62.34133569739952,52740.77,60.88
147,Longwood,Bronx,819,19.328228327228327,15829.819,65.40142857142858,53563.770000000004,64.5
126,Hunts Point,Bronx,770,19.295645454545454,14857.646999999999,66.45275324675325,51168.619999999995,65.53
183,Pelham Bay,Bronx,729,17.7707146776406,12954.850999999999,61.97838134430726,45182.23999999999,60.91
60,Crotona Park East,Bronx,713,19.366607293127625,13808.390999999998,66.96518934081348,47746.18000000001,65.98
23,Bloomfield/Emerson Hill,Staten Island,693,27.211900432900435,18857.847,97.93584415584417,67869.54000000001,96.04
190,Prospect Park,Brooklyn,667,15.169713643178412,10118.199,69.9472563718141,46654.82000000001,65.54
206,Saint George/New Brighton,Staten Island,578,25.67060207612457,14837.608000000002,91.73356401384083,53022.0,91.64
221,Stapleton,Staten Island,575,23.25363304347826,13370.839,83.2670260869565,47878.53999999999,82.84
94,Fordham South,Bronx,575,21.49057217391304,12357.078999999998,76.37699130434783,43916.77,75.8
118,Heartland Village/Todt Hill,Staten Island,535,26.359435514018692,14102.298,102.32717757009344,54745.03999999999,98.41
27,Breezy Point/Fort Tilden/Riis Beach,Queens,493,15.072878296146042,7430.928999999999,60.67770791075052,29914.110000000008,58.3
58,Country Club,Bronx,487,17.815930184804927,8676.358,66.31689938398357,32296.329999999998,63.2
214,South Beach/Dongan Hills,Staten Island,467,23.815158458244113,11121.679,87.24396145610278,40742.93,86.3
115,Grymes Hill/Clifton,Staten Island,447,23.92232438478747,10693.278999999999,82.9240044742729,37067.02999999999,84.1
264,N/A,Unknown,440,16.078795454545453,7074.669999999999,72.86524999999997,32060.709999999992,70.0
6,Arrochar/Fort Wadsworth,Staten Island,411,22.63392457420925,9302.543000000001,81.3732603406326,33444.409999999996,81.4
251,Westerleigh,Staten Island,371,25.376153638814017,9414.553,92.48530997304582,34312.049999999996,91.9
34,Brooklyn Navy Yard,Brooklyn,356,17.056615168539324,6072.155,77.40685393258426,27556.839999999993,72.58
245,West Brighton,Staten Island,341,25.09869501466276,8558.655,92.85964809384163,31665.139999999996,92.6
96,Forest Park/Highland Park,Queens,339,8.527469026548673,2890.812,36.80132743362831,12475.649999999998,36.6
109,Great Kills,Staten Island,330,29.38832424242424,9698.146999999999,110.96087878787883,36617.09000000001,108.63
172,New Dorp/Midland Beach,Staten Island,312,25.68466346153846,8013.615,96.87073717948716,30223.669999999995,95.4
156,Mariners Harbor,Staten Island,301,28.280601328903654,8512.461,97.83524916943523,29448.410000000003,96.51
153,Marble Hill,Manhattan,282,23.68645390070922,6679.58,84.93801418439713,23952.519999999993,84.2
46,City Island,Bronx,274,21.365021897810216,5854.016,81.88222627737225,22435.729999999996,77.9
176,Oakwood,Staten Island,254,27.016007874015752,6862.066000000001,103.20405511811023,26213.829999999998,101.0
30,Broad Channel,Queens,247,9.348761133603242,2309.1440000000007,40.024170040485835,9885.970000000001,39.4
253,Willets Point,Queens,242,9.82389256198347,2377.3819999999996,39.91318181818182,9658.99,38.0
84,Eltingville/Annadale/Prince's Bay,Staten Island,210,33.40448095238095,7014.941,122.7275238095238,25772.78,120.6
187,Port Richmond,Staten Island,161,27.31495031055901,4397.707,98.54242236024844,15865.329999999998,97.5
120,Highbridge Park,Manhattan,159,20.421056603773582,3246.948,77.90937106918238,12387.59,70.0
